timestamp,open,high,low,close,volume
2025-07-01 09:18:00,1171.3,1171.7,1171.0,1171.4,7305015
2025-07-01 09:19:00,1171.1,1172.5,1171.0,1172.5,7343022
2025-07-01 09:20:00,1172.6,1172.6,1171.6,1171.7,7371017
2025-07-01 09:21:00,1172.0,1172.0,1171.5,1171.7,7385376
2025-07-01 09:22:00,1171.8,1172.6,1171.5,1172.3,7428752
2025-07-01 09:23:00,1172.6,1172.7,1172.1,1172.3,7441434
2025-07-01 09:24:00,1172.2,1172.7,1172.0,1172.6,7458540
2025-07-01 09:25:00,1172.7,1172.7,1172.1,1172.4,7474764
2025-07-01 09:26:00,1172.5,1173.0,1172.2,1173.0,7497826
2025-07-01 09:27:00,1172.6,1173.0,1172.4,1172.6,7511729
2025-07-01 09:28:00,1172.7,1172.8,1172.4,1172.7,7524229
2025-07-01 09:29:00,1172.6,1172.6,1172.4,1172.5,7535454
2025-07-01 09:30:00,1172.6,1173.1,1172.6,1173.1,7562049
2025-07-01 09:31:00,1173.0,1173.1,1172.8,1172.8,7582676
2025-07-01 09:32:00,1172.9,1173.2,1172.8,1173.1,7613059
2025-07-01 09:33:00,1173.0,1173.7,1173.0,1173.7,7650760
2025-07-01 09:34:00,1173.6,1174.0,1173.5,1173.8,7685245
2025-07-01 09:35:00,1173.9,1174.0,1173.6,1173.7,7739891
2025-07-01 09:36:00,1173.6,1173.7,1173.2,1173.2,7771156
2025-07-01 09:37:00,1173.3,1173.6,1173.2,1173.3,7794053
2025-07-01 09:38:00,1173.4,1173.6,1173.0,1173.6,7841030
2025-07-01 09:39:00,1173.5,1173.9,1173.2,1173.8,7935389
2025-07-01 09:40:00,1173.6,1174.3,1173.6,1173.8,7959896
2025-07-01 09:41:00,1173.9,1173.9,1173.6,1173.7,7984521
2025-07-01 09:42:00,1173.6,1173.9,1173.3,1173.4,8029414
2025-07-01 09:43:00,1173.2,1173.6,1173.0,1173.5,8070009
2025-07-01 09:44:00,1173.4,1173.5,1173.1,1173.2,8103477
2025-07-01 09:45:00,1173.3,1173.7,1173.0,1173.4,8202613
2025-07-01 09:46:00,1173.2,1173.6,1173.0,1173.3,8234679
2025-07-01 09:47:00,1173.2,1173.5,1173.1,1173.4,8261862
2025-07-01 09:48:00,1173.2,1173.4,1172.6,1173.0,8325552
