timestamp,timestamp,open,high,low,close,volume
6:30:00 PM,1/5/2025,2335.95,2340,2256.7,2267.15,1191044
6:30:00 PM,1/6/2025,2272,2316,2272,2292.6,740798
6:30:00 PM,1/7/2025,2287.05,2338,2272.7,2334.35,1439655
6:30:00 PM,1/8/2025,2341.9,2361.4,2321.3,2350.2,1362314
6:30:00 PM,1/9/2025,2335.6,2348.9,2316,2320.75,1214382
6:30:00 PM,1/12/2025,2291.75,2301.9,2246.4,2252.65,1181928
6:30:00 PM,1/13/2025,2269,2286.35,2237,2239.95,1317678
6:30:00 PM,1/14/2025,2249,2253.75,2220,2229.7,1308999
6:30:00 PM,1/15/2025,2239,2239.85,2207.8,2215.6,1936132
6:30:00 PM,1/16/2025,2225.65,2269.05,2212.5,2261,878871
6:30:00 PM,1/19/2025,2272.25,2286.9,2251,2280.55,555730
6:30:00 PM,1/20/2025,2280.55,2315,2255,2260.35,1410331
6:30:00 PM,1/21/2025,2270,2270,2244.9,2262.1,835523
6:30:00 PM,1/22/2025,2262.1,2301.8,2246.2,2276.35,1142498
6:30:00 PM,1/23/2025,2283,2296.55,2255.05,2262.4,543217
6:30:00 PM,1/26/2025,2255.3,2277.75,2246.2,2251.5,1097947
6:30:00 PM,1/27/2025,2260,2267.05,2234.1,2241.8,897503
6:30:00 PM,1/28/2025,2241.8,2246.8,2212.05,2223.15,1281122
6:30:00 PM,1/29/2025,2223.15,2259.25,2215,2249.85,1155749
6:30:00 PM,1/30/2025,2255,2305,2234.85,2300.8,1292925
6:30:00 PM,1/31/2025,2312,2389,2285.3,2351.15,1318652
6:30:00 PM,2/2/2025,2351.15,2364.45,2277.7,2292.25,1070392
6:30:00 PM,2/3/2025,2304.65,2418.6,2263.75,2354.35,5373740
6:30:00 PM,2/4/2025,2269,2295.55,2237.25,2275.2,3474657
6:30:00 PM,2/5/2025,2287.2,2298.9,2260.25,2263.4,1285982
6:30:00 PM,2/6/2025,2266,2276.3,2243.2,2271,1336756
6:30:00 PM,2/9/2025,2271.05,2278,2254,2270.15,1181565
6:30:00 PM,2/10/2025,2279,2282.9,2226,2240.85,1607952
6:30:00 PM,2/11/2025,2241.85,2247.95,2185.7,2228.25,1181718
6:30:00 PM,2/12/2025,2228.25,2249.95,2220,2236.4,921923
6:30:00 PM,2/13/2025,2236.4,2250.55,2203,2231.3,1380052
6:30:00 PM,2/16/2025,2231.3,2260,2226.05,2250.85,923979
6:30:00 PM,2/17/2025,2248,2251.95,2218.75,2237.6,735853
6:30:00 PM,2/18/2025,2237.6,2249.8,2226.1,2239.1,645236
